"統計名：","在留外国人統計（旧登録外国人統計） 在留外国人統計"
"表番号：","07"
"表題：","市区町村別　国籍・地域別　在留外国人"
"実施年月：","-","-"
"市区町村時点（年月日）：","2015年12月31日"

"***","数字が得られないもの"
"-","数字が得られないもの"

"","","","","","","","000","","105","","103","","901","","117","","410","","110","","407","","131","","304","","106","","960",""
"表章項目 コード","表章項目","時間軸（月次） コード","時間軸（月次）","市区町村 コード","市区町村","/国籍07","総数","注釈","中国","注釈","韓国","注釈","韓国・朝鮮","注釈","フィリピン","注釈","ブラジル","注釈","ベトナム","注釈","ペルー","注釈","ネパール","注釈","米国","注釈","台湾","注釈","その他","注釈"
"101","人数【人】","2016000606","2016年6月","01100","札幌市","","10,980","","3,777","","2,272","","***","","381","","80","","402","","***","","226","","582","","383","","2,877",""
"101","人数【人】","2016000606","2016年6月","01101","中央区","","2,345","","724","","502","","***","","56","","9","","118","","***","","46","","203","","112","","575",""
"101","人数【人】","2016000606","2016年6月","01102","北区","","2,690","","1,152","","299","","***","","61","","15","","59","","***","","75","","91","","95","","843",""
"101","人数【人】","2016000606","2016年6月","01103","東区","","1,440","","529","","250","","***","","61","","14","","47","","***","","27","","45","","50","","417",""
"101","人数【人】","2016000606","2016年6月","01104","白石区","","795","","212","","237","","***","","47","","7","","36","","***","","14","","42","","13","","187",""
"101","人数【人】","2016000606","2016年6月","01105","豊平区","","1,273","","374","","399","","***","","48","","7","","25","","***","","10","","71","","50","","289",""
"101","人数【人】","2016000606","2016年6月","01106","南区","","546","","176","","106","","***","","25","","-","","3","","***","","20","","56","","22","","138",""
"101","人数【人】","2016000606","2016年6月","01107","西区","","664","","191","","156","","***","","37","","18","","54","","***","","15","","26","","19","","148",""
"101","人数【人】","2016000606","2016年6月","01108","厚別区","","504","","254","","96","","***","","20","","2","","19","","***","","5","","21","","9","","78",""
"101","人数【人】","2016000606","2016年6月","01109","手稲区","","304","","114","","35","","***","","14","","-","","41","","***","","9","","9","","7","","75",""
"101","人数【人】","2016000606","2016年6月","01110","清田区","","419","","51","","192","","***","","12","","8","","-","","***","","5","","18","","6","","127",""
"101","人数【人】","2016000606","2016年6月","01202","函館市","","890","","354","","142","","***","","36","","2","","76","","***","","36","","32","","25","","187",""
"101","人数【人】","2016000606","2016年6月","01203","小樽市","","507","","112","","79","","***","","12","","1","","16","","***","","7","","17","","20","","243",""
"101","人数【人】","2016000606","2016年6月","01204","旭川市","","795","","160","","191","","***","","81","","5","","98","","***","","66","","37","","18","","139",""
"101","人数【人】","2016000606","2016年6月","01205","室蘭市","","350","","112","","65","","***","","14","","2","","22","","***","","22","","6","","2","","105",""
"101","人数【人】","2016000606","2016年6月","01206","釧路市","","562","","146","","100","","***","","47","","2","","166","","***","","8","","15","","10","","68",""
"101","人数【人】","2016000606","2016年6月","01207","帯広市","","571","","120","","152","","***","","37","","4","","35","","***","","18","","23","","4","","178",""
"101","人数【人】","2016000606","2016年6月","01208","北見市","","356","","136","","57","","***","","34","","2","","26","","***","","5","","8","","12","","76",""
"101","人数【人】","2016000606","2016年6月","01209","夕張市","","103","","92","","3","","***","","-","","-","","-","","***","","-","","3","","1","","4",""
"101","人数【人】","2016000606","2016年6月","01210","岩見沢市","","124","","32","","26","","***","","12","","1","","3","","***","","4","","13","","2","","31",""
"101","人数【人】","2016000606","2016年6月","01211","網走市","","205","","145","","7","","***","","9","","-","","11","","***","","4","","11","","5","","13",""
"101","人数【人】","2016000606","2016年6月","01212","留萌市","","108","","18","","7","","***","","1","","-","","69","","***","","-","","1","","-","","12",""
"101","人数【人】","2016000606","2016年6月","01213","苫小牧市","","533","","150","","120","","***","","44","","1","","48","","***","","18","","9","","12","","131",""
"101","人数【人】","2016000606","2016年6月","01214","稚内市","","333","","220","","34","","***","","6","","-","","21","","***","","10","","8","","-","","34",""
"101","人数【人】","2016000606","2016年6月","01215","美唄市","","53","","10","","21","","***","","5","","-","","1","","***","","4","","3","","-","","9",""
"101","人数【人】","2016000606","2016年6月","01216","芦別市","","39","","19","","2","","***","","4","","-","","10","","***","","-","","-","","-","","4",""
"101","人数【人】","2016000606","2016年6月","01217","江別市","","433","","174","","74","","***","","5","","10","","46","","***","","4","","21","","5","","94",""
"101","人数【人】","2016000606","2016年6月","01218","赤平市","","57","","22","","4","","***","","19","","-","","8","","***","","-","","1","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01219","紋別市","","349","","184","","6","","***","","4","","-","","73","","***","","3","","3","","3","","73",""
"101","人数【人】","2016000606","2016年6月","01220","士別市","","69","","21","","10","","***","","2","","-","","25","","***","","-","","9","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01221","名寄市","","125","","76","","9","","***","","3","","-","","-","","***","","2","","20","","1","","14",""
"101","人数【人】","2016000606","2016年6月","01222","三笠市","","19","","3","","3","","***","","1","","-","","3","","***","","-","","5","","-","","4",""
"101","人数【人】","2016000606","2016年6月","01223","根室市","","305","","38","","6","","***","","13","","-","","211","","***","","-","","-","","1","","36",""
